tiempo,du,dl,dy
1977,0.53,-0.670695445102,
1978,1.5025,-1.77955771374,
1979,1.6425,-4.20632621293,
1980,2.9925,-3.52756714887,
1981,3.2925,-3.25265402977,-3.76077685537
1982,-0.2175,2.01532403696,0.792044371686
1983,0.35,1.07428890311,0.544178636431
1984,2.1925,-2.61230763976,3.31577764683
1985,0.3275,1.13856979489,5.41393782345
1986,-1.435,2.04497595728,0.266986637385
1987,-0.165,3.0259972281,9.12667747078
1988,0.11,3.98916377339,8.47158320688
1989,-0.92,2.0961994133,6.87583843044
1990,-1.1025,1.41549744891,3.04609067345
1991,0.0775,0.92174411082,1.76960394772
1992,2.4925,-1.46914358321,0.998060196483
1993,3.8725,-3.72832357571,-4.34943946344
1994,0.165,-1.43018342208,1.45216049702
1995,0.4925,-1.54376509968,1.82002063451
1996,-0.605,2.24446480625,3.1
1997,-0.95,3.60087119286,2.7
1998,-1.755,5.71593774655,3.5
1999,-1.855,3.79347282971,1.9
2000,-2.47,5.16009121392,4.9
2001,-3.2575,2.65605206806,3.0
2002,0.0825,5.55290191193,3.5
2003,0.4,4.07364924257,3.4
2004,-0.4725,4.32245100486,3.3
2005,-0.14,6.94779619579,3.9
2006,-0.355,4.72675297534,4.8
2007,-1.2,6.78043072563,5.5
2008,3.96,-0.41738629546,2.8
2009,7.2375,-6.37648141895,-2.7
2010,2.18,-2.03915707612,-0.3
2011,1.9325,-0.485739726666,-0.5
2012,5.5525,-7.34691742196,-4.1
2013,1.635,-2.10298026202,-0.9
2014,,-0.0177420299687,1.1
2015,,0.420585876114,
